Clubname;Country
1. FC Köln;Germany
1. FC Nürnberg;Germany
1. FSV Mainz 05;Germany
TSV 1860 München;Germany
Aalborg BK;Denmark
Aarhus GF;Denmark
Aberdeen;Scotland
AC Ajaccio;France
AC Horsens;Denmark
Accrington Stanley;England
AD Alcorcón;Spain
Adelaide United;Australia
ADO Den Haag;Netherlands
AEK Athens;Greece
AFC Wimbledon;England
AIK;Sweden
AJ Auxerre;France
Ajax;Netherlands
Akhisar Belediyespor;Turkey
Al Ahli;Saudi Arabia
Al Batin;Saudi Arabia
Al Faisaly;Saudi Arabia
Al Fateh;Saudi Arabia
Al Fayha;Saudi Arabia
Al Hazem;Saudi Arabia
Al Hilal;Saudi Arabia
Al Ittihad;Saudi Arabia
Al Nassr;Saudi Arabia
Al Qadisiyah;Saudi Arabia
Al Raed;Saudi Arabia
Al Shabab;Saudi Arabia
Al Taawoun;Saudi Arabia
Al Wehda;Saudi Arabia
Alianza Petrolera;Colombia
Alanyaspor;Turkey
Albacete BP;Spain
Club Atlético Aldosivi;Argentina
América FC (Minas Gerais);Brazil
Club América;Mexico
América de Cali;Colombia
Amiens SC;France
Angers SCO;France
Antalyaspor;Turkey
Argentinos Juniors;Argentina
Arka Gdynia;Poland
Arsenal;England
AS Béziers;France
AS Monaco;France
AS Saint-Étienne;France
Ascoli;Italy
Aston Villa;England
Atalanta;Italy
Athletic Club de Bilbao;Spain
Atlético Bucaramanga;Colombia
Atlético Nacional;Colombia
Atlético Paranaense;Brazil
Atlanta United;USA Canada
Club Atlas;Mexico
Atlético Huila;Colombia
Atlético Madrid;Spain
Atlético Mineiro;Brazil
Atlético Tucumán;Argentina
Audax Italiano;Chile
FC Erzgebirge Aue;Germany
AZ Alkmaar;Netherlands
Bahia;Brazil
Club Atlético Banfield;Argentina
Barnsley;England
Bayer 04 Leverkusen;Germany
BB Erzurumspor;Turkey
Beijing Renhe FC;China
Beijing Sinobo Guoan FC;China
Os Belenenses;Portugal
Belgrano de Córdoba;Argentina
Benevento;Italy
Beşiktaş JK;Turkey
DSC Arminia Bielefeld;Germany
Birmingham City;England
BK Häcken;Sweden
Blackburn Rovers;England
Blackpool;England
Boavista FC;Portugal
VfL Bochum 1848;Germany
Bohemian FC;Ireland
Bologna;Italy
Bolton Wanderers;England
Borussia Dortmund;Germany
Borussia Mönchengladbach;Germany
Botafogo;Brazil
Bournemouth;England
Boyacá Chicó FC;Colombia
Bradford City;England
Eintracht Braunschweig;Germany
Bray Wanderers;Ireland
Brentford;England
Brescia;Italy
Brighton & Hove Albion;England
Brisbane Roar;Australia
Bristol City;England
Bristol Rovers;England
IF Brommapojkarna;Sweden
Brøndby IF;Denmark
BSC Young Boys;Switzerland
Boca Juniors;Argentina
Burnley;England
Bursaspor;Turkey
Burton Albion;England
Bury;England
CA Osasuna;Spain
Cádiz CF;Spain
Cagliari;Italy
Cambridge United;England
Cardiff City;England
FC Carl Zeiss Jena;Germany
Carlisle United;England
Carpi;Italy
Çaykur Rizespor;Turkey
CD Antofagasta;Chile
CD Feirense;Portugal
CD Huachipato;Chile
CD Leganés;Spain
CD Lugo;Spain
CD Numancia;Spain
CD O'Higgins;Chile
CD Palestino;Chile
CD Tenerife;Spain
CD Tondela;Portugal
CD Viñazur;Chile
Ceará Sporting Club;Brazil
Celtic;Scotland
Central Coast Mariners;Australia
KSV Cercle Brugge;Belgium
Cerezo Osaka;Japan
CF Rayo Majadahonda;Spain
CF Reus Deportiu;Spain
Chamois Niortais Football Club;France
Changchun Yatai FC;China
Chapecoense;Brazil
Charlton Athletic;England
Chelsea;England
Cheltenham Town;England
Chicago Fire;USA Canada
