Gender;Weight;Size;Eyes;Hair;Shoesize;Mathgrade;Germangrade;Englishgrade;Smoker;EduMother;SizeMother;SmokeMother;EduFather;SizeFather;SmokeFather;ZodiacSign
male;68;183;gray;darkblonde;44;4;3;;yes;Upper Secondary;177;no;Degree;178;no;Cancer
male;80;184;blue;blonde;44;3;2;1;no;Secondary;160;yes;Secondary;176;no;Leo
female;62;173;blue;blonde;39;4;2;2;yes;Upper Secondary;171;no;Degree;175;no;Pisces
female;55;165;green;blonde;38;3;3;3;yes;Degree;164;yes;Degree;185;no;Sagittarius
female;60;165;blue;brown;38;4;3;3;no;Secondary;165;yes;Secondary;190;yes;Virgo
male;70;185;blue;black;44;;;;yes;Secondary;;no;Secondary;185;no;Pisces
male;81;179;bluegray;brown;42;;1;2;yes;Secondary;165;no;Upper Secondary;175;no;Taurus
male;93;185;brown;brown;44;4;4;3;yes;Secondary;173;no;Upper Secondary;184;yes;Leo
female;70;178;blue;blonde;42;3;4;2;yes;Upper Secondary;172;yes;Upper Secondary;184;no;Taurus
female;75;168;brown;brown;39;3;2;4;yes;Upper Secondary;160;no;Degree;180;no;Leo
female;65;165;green;brown;39;;3;3;no;Secondary;160;no;Secondary;170;no;Aquarius
male;80;182;brown;brown;45;3;4;3;no;Secondary;169;no;Degree;175;yes;Leo
male;83;193;brown;blackbrown;45;3;3;2;no;Secondary;165;no;Secondary;186;yes;Virgo
male;65;172;brown;brown;42;2;2;2;no;;;;;;;Capricorn
male;73;173;green;brown;42;4;3;3;no;Degree;168;yes;Upper Secondary;176;no;Libra
female;65;162;blue;darkblonde;37;;1;3;no;Secondary;169;yes;Degree;169;no;Capricorn
male;73;173;brown;darkbrown;42;3;3;3;no;Secondary;158;no;Secondary;168;yes;Virgo
male;78;193;brown;brown;;2;3;1;no;Secondary;172;no;Secondary;183;yes;Pisces
male;72;178;bluegreen;brown;43;1;1;2;no;Secondary;165;no;Secondary;168;no;Leo
female;50;157;blue;brown;36;4;3;4;no;Secondary;165;no;Secondary;175;yes;Taurus
female;48;160;brown;brown;37;;;;no;Degree;162;no;Degree;179;no;Taurus
male;70;183;brown;black;43;3;2;2;yes;Upper Secondary;165;no;Degree;180;no;Aquarius
male;82;188;green;brown;45;3;2;3;yes;Degree;168;no;Degree;173;yes;Sagittarius
male;75;180;brown;brown;44;1;2;3;no;Secondary;170;no;Secondary;175;no;Virgo
male;80;182;green;brown;42;3;;4;no;Degree;161;no;Degree;187;no;Scorpio
male;59;173;brown;brown;43;1;3;2;no;Secondary;162;no;Degree;165;no;Virgo
female;59;168;green;brown;38;1;1;2;no;Secondary;164;no;Secondary;165;no;Leo
female;64;173;green;brown;38;;2;3;no;Secondary;170;no;Secondary;175;no;Pisces
